Time,Temperature,DewPoint,Humidity,Wind,WindSpeed,WindGust,Pressure,Precip\.,Condition
4:00 PM,86,79,79,W,6,0,29.69,0.0,Fair
7:00 PM,77,73,89,W,3,0,29.71,0.0,Fair
8:00 PM,77,72,83,WSW,3,0,29.74,0.0,Fair
9:00 PM,75,72,89,WSW,5,0,29.77,0.0,Fair
10:00 PM,77,73,89,WSW,6,0,29.80,0.0,Fair
11:00 PM,77,73,89,WSW,5,0,29.80,0.0,Fair
12:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
1:00 AM,75,72,89,WSW,6,0,29.74,0.0,Fair
2:00 AM,75,72,89,,0,0,0.00,0.0,Fair
3:00 AM,75,72,89,SSW,2,0,29.77,0.0,Fair
5:00 AM,77,0,0,WSW,6,0,29.77,0.0,Fair
7:00 AM,77,73,89,VAR,2,0,29.77,0.0,Fair
8:00 AM,77,73,89,SSE,6,0,29.77,0.0,Fair
9:00 AM,79,75,89,CALM,0,0,29.80,0.0,Fair
10:00 AM,79,75,89,VAR,2,0,29.80,0.0,Partly Cloudy
11:00 AM,79,75,89,VAR,1,0,29.80,0.0,Partly Cloudy
1:00 PM,86,75,70,W,6,0,29.80,0.0,Partly Cloudy
2:00 PM,88,75,66,E,7,0,29.74,0.0,Partly Cloudy
3:00 PM,88,77,70,W,7,0,29.71,0.0,Fair
4:00 PM,88,77,70,W,7,0,29.71,0.0,Partly Cloudy
5:00 PM,86,77,74,W,8,0,29.71,0.0,Fair
6:00 PM,82,77,84,WSW,5,0,29.71,0.0,Fair
7:00 PM,81,79,94,WSW,6,0,29.74,0.0,Fair
8:00 PM,79,75,89,WSW,6,0,29.77,0.0,Fair
9:00 PM,79,75,89,WSW,3,0,29.80,0.0,Fair
10:00 PM,77,73,89,,0,0,29.80,0.0,Fair
11:00 PM,75,73,94,,0,0,29.80,0.0,Fair
12:00 AM,77,73,,,,,,undefined,
2:00 AM,75,73,94,,0,0,29.80,0.0,Fair
3:00 AM,75,73,94,,0,0,29.80,0.0,Fair
4:00 AM,73,70,88,VAR,2,0,29.77,0.0,Fair
5:00 AM,73,70,88,CALM,0,0,29.77,0.0,Fair
6:00 AM,73,70,88,WSW,3,0,29.77,0.0,Fair
7:00 AM,72,68,88,SSW,3,0,29.80,0.0,Fair
8:00 AM,75,72,89,CALM,0,0,29.83,0.0,Fair
9:00 AM,84,79,84,CALM,0,0,29.83,0.0,Fair
10:00 AM,88,75,66,VAR,2,0,29.83,0.0,Fair
11:00 AM,86,77,74,NW,3,0,29.80,0.0,Fair
12:00 PM,88,77,70,NNW,5,0,29.80,0.0,Fair
1:00 PM,88,75,66,N,3,0,29.77,0.0,Partly Cloudy
2:00 PM,90,75,62,VAR,5,0,29.74,0.0,Fair
3:00 PM,90,77,66,NNW,6,0,29.69,0.0,Fair
4:00 PM,90,77,66,NNW,6,0,29.69,0.0,Fair
6:00 PM,86,77,74,W,3,0,29.71,0.0,Fair
8:00 PM,79,77,94,SW,6,0,29.74,0.0,Fair
7:00 PM,81,77,89,SW,6,0,29.71,0.0,Fair
10:00 PM,79,75,89,WSW,2,0,29.77,0.0,Fair
11:00 PM,75,73,94,VAR,1,0,29.77,0.0,Fair
12:00 AM,75,73,94,WSW,3,0,29.77,0.0,Fair
1:00 AM,75,72,89,WSW,3,0,29.74,0.0,Fair
2:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
3:00 AM,75,72,89,,0,0,29.74,0.0,Fair
4:00 AM,75,72,89,,0,0,29.74,0.0,Fair
5:00 AM,75,72,89,WNW,1,0,29.74,0.0,Fair
6:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
7:00 AM,75,73,94,WSW,5,0,29.74,0.0,Fair
8:00 AM,79,75,89,WSW,3,0,29.77,0.0,Fair
9:00 AM,86,77,74,VAR,1,0,29.80,0.0,Fair
12:00 AM,75,73,94,WSW,3,0,29.77,0.0,Fair
,,,,,,,,undefined,
6:00 PM,84,79,84,W,6,0,29.71,0.0,Partly Cloudy
7:00 PM,81,79,94,WSW,5,0,29.71,0.0,Fair
9:00 PM,79,77,94,WSW,3,0,29.77,0.0,Fair
8:00 PM,81,79,94,WSW,6,0,29.74,0.0,Fair
10:00 PM,77,73,89,CALM,0,0,29.77,0.0,Fair
11:00 PM,77,73,89,CALM,0,0,29.77,0.0,Fair
12:00 AM,75,73,94,WSW,2,0,29.77,0.0,Fair
1:00 AM,75,0,0,WSW,5,0,29.74,0.0,Fair
2:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
3:00 AM,75,72,89,SW,5,0,29.74,0.0,Fair
4:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
5:00 AM,73,72,94,,0,0,0.00,0.0,Fair
6:00 AM,73,72,94,SW,3,0,29.77,0.0,Fair
7:00 AM,73,72,94,VAR,2,0,29.77,0.0,Fair
8:00 AM,79,75,89,VAR,2,0,29.80,0.0,Fair
9:00 AM,84,82,94,CALM,0,0,29.83,0.0,Fair
10:00 AM,86,77,74,NW,3,0,29.83,0.0,Fair
11:00 AM,90,77,66,SW,6,0,29.80,0.0,Partly Cloudy
12:00 PM,90,79,70,W,8,0,29.77,0.0,Fair
3:00 PM,88,79,75,W,12,0,29.69,0.0,Fair
2:00 PM,88,79,75,W,10,0,29.71,0.0,Fair
1:00 PM,88,79,75,W,10,0,29.74,0.0,Fair
4:00 PM,86,79,79,W,12,0,29.69,0.0,Fair
5:00 PM,86,79,79,W,10,0,29.66,0.0,Fair
6:00 PM,84,81,89,WSW,7,0,29.69,0.0,Fair
7:00 PM,82,79,89,WSW,7,0,29.71,0.0,Fair
9:00 PM,81,77,89,WSW,6,0,29.74,0.0,Fair
10:00 PM,81,77,89,W,7,0,29.74,0.0,Fair
8:00 PM,81,77,89,WSW,6,0,29.74,0.0,Fair
11:00 PM,81,77,89,SSW,6,0,29.77,0.0,Fair
12:00 AM,75,73,94,WSW,2,0,29.77,0.0,Fair
1:00 AM,75,0,0,WSW,5,0,29.74,0.0,Fair
2:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
3:00 AM,75,72,89,SW,5,0,29.74,0.0,Fair
4:00 AM,75,72,89,WSW,5,0,29.74,0.0,Fair
5:00 AM,73,72,94,,0,0,0.00,0.0,Fair
6:00 AM,73,72,94,SW,3,0,29.77,0.0,Fair
7:00 AM,73,72,94,VAR,2,0,29.77,0.0,Fair
8:00 AM,79,75,89,VAR,2,0,29.80,0.0,Fair
9:00 AM,84,82,94,CALM,0,0,29.83,0.0,Fair
10:00 AM,86,77,74,NW,3,0,29.83,0.0,Fair
11:00 AM,90,77,66,SW,6,0,29.80,0.0,Partly Cloudy
12:00 PM,90,79,70,W,8,0,29.77,0.0,Fair
1:00 PM,88,79,75,W,10,0,29.74,0.0,Fair
2:00 PM,88,79,75,W,10,0,29.71,0.0,Fair
3:00 PM,88,79,75,W,12,0,29.69,0.0,Fair
5:00 PM,86,79,79,W,10,0,29.66,0.0,Fair
6:00 PM,84,81,89,WSW,7,0,29.69,0.0,Fair
7:00 PM,82,79,89,WSW,7,0,29.71,0.0,Fair
4:00 PM,86,79,79,W,12,0,29.69,0.0,Fair
8:00 PM,81,77,89,WSW,6,0,29.74,0.0,Fair
10:00 PM,81,77,89,W,7,0,29.74,0.0,Fair
9:00 PM,81,77,89,WSW,6,0,29.74,0.0,Fair
11:00 PM,81,77,89,SSW,6,0,29.77,0.0,Fair
12:00 AM,75,73,94,SW,3,0,29.74,0.0,Fair
1:00 AM,75,72,89,CALM,0,0,29.71,0.0,Fair
2:00 AM,75,73,94,CALM,0,0,29.71,0.0,Fair
3:00 AM,75,72,89,CALM,0,0,29.69,0.0,Fair
5:00 AM,73,72,94,,0,0,0.00,0.0,Fair
4:00 AM,73,72,94,SW,3,0,29.69,0.0,Fair
6:00 AM,73,72,94,WSW,2,0,29.71,0.0,Fair
7:00 AM,73,72,94,CALM,0,0,29.71,0.0,Fair
8:00 AM,75,72,89,WSW,2,0,29.74,0.0,Fair
9:00 AM,82,79,89,SW,3,0,29.74,0.0,Fair
10:00 AM,84,81,89,VAR,2,0,29.77,0.0,Fair
11:00 AM,86,79,79,W,6,0,29.77,0.0,Fair
12:00 PM,88,79,75,W,7,0,29.74,0.0,Fair
4:00 PM,88,77,70,W,6,0,29.66,0.0,Fair
1:00 PM,88,79,75,WNW,5,0,29.71,0.0,Fair
3:00 PM,88,79,75,WNW,6,0,29.66,0.0,Fair
2:00 PM,90,79,70,WNW,5,0,29.69,0.0,Fair
5:00 PM,86,79,79,W,6,0,29.66,0.0,Fair
6:00 PM,84,79,84,W,3,0,29.69,0.0,Partly Cloudy
7:00 PM,82,79,89,VAR,2,0,29.69,0.0,Fair
8:00 PM,81,79,94,WSW,6,0,29.71,0.0,Fair
10:00 PM,79,75,89,WSW,6,0,29.74,0.0,Fair
11:00 PM,79,75,89,WSW,5,0,29.74,0.0,Fair
12:00 AM,79,75,89,WSW,7,0,29.74,0.0,Fair
1:00 AM,77,73,89,W,6,0,29.74,0.0,Fair
2:00 AM,77,73,89,W,5,0,29.71,0.0,Fair
3:00 AM,77,73,89,W,5,0,29.69,0.0,Fair
4:00 AM,77,73,89,,0,0,0.00,0.0,Fair
5:00 AM,77,73,89,,0,0,0.00,0.0,Fair
6:00 AM,77,73,89,W,5,0,29.71,0.0,Fair
7:00 AM,75,72,89,WSW,5,0,29.71,0.0,Fair
10:00 AM,84,81,89,VAR,1,0,29.77,0.0,Thunder
8:00 AM,81,77,89,WSW,5,0,29.74,0.0,Fair
9:00 AM,81,77,89,WSW,6,0,29.77,0.0,Fair
11:00 AM,84,81,89,NNW,9,0,29.77,0.0,Thunder
12:00 PM,0,0,0,,0,0,0.00,0.0,Thunder
1:00 PM,82,77,84,NNW,6,0,29.74,0.0,Thunder
4:00 PM,84,77,79,WSW,5,0,29.69,0.0,Partly Cloudy
2:00 PM,84,79,84,SSE,5,0,29.69,0.0,Thunder
3:00 PM,84,77,79,SSW,7,0,29.69,0.0,Mostly Cloudy
5:00 PM,82,77,84,WSW,6,0,29.69,0.0,Partly Cloudy
7:00 PM,79,75,89,WSW,5,0,29.71,0.0,Fair
6:00 PM,81,77,89,WSW,5,0,29.69,0.0,Fair
8:00 PM,77,75,94,WSW,6,0,29.74,0.0,Fair
9:00 PM,77,73,89,WSW,7,0,29.77,0.0,Fair
10:00 PM,77,73,89,WSW,6,0,29.77,0.0,Fair
11:00 PM,77,73,89,WSW,7,0,29.77,0.0,Fair
12:00 AM,77,73,89,SSW,3,0,29.77,0.0,Fair
1:00 AM,77,73,89,WSW,3,0,29.74,0.0,Fair
3:00 AM,77,73,89,WSW,6,0,29.74,0.0,Fair
2:00 AM,77,73,89,SW,3,0,29.74,0.0,Fair
4:00 AM,77,73,89,W,3,0,29.74,0.0,Fair
5:00 AM,77,73,89,W,3,0,29.77,0.0,Fair
6:00 AM,77,73,89,WSW,5,0,29.77,0.0,Fair
7:00 AM,77,73,89,WSW,5,0,29.80,0.0,Fair
8:00 AM,79,75,89,WSW,5,0,29.83,0.0,Fair
11:00 AM,88,77,70,WNW,6,0,29.83,0.0,Fair
10:00 AM,88,79,75,W,6,0,29.83,0.0,Fair
9:00 AM,81,77,89,VAR,2,0,29.83,0.0,Fair
12:00 PM,90,77,66,WNW,6,0,29.80,0.0,Fair
2:00 PM,88,79,75,WNW,8,0,29.74,0.0,Fair
1:00 PM,90,79,70,NNW,8,0,29.77,0.0,Fair
3:00 PM,88,77,70,W,8,0,29.71,0.0,Fair
4:00 PM,86,79,79,WSW,10,0,29.71,0.0,Fair
5:00 PM,86,77,74,WSW,9,0,29.71,0.0,Fair
6:00 PM,0,0,0,,0,0,0.00,0.0,Fair
7:00 PM,81,77,89,W,3,0,29.74,0.0,Fair
10:00 PM,77,73,89,W,2,0,29.83,0.0,Fair
8:00 PM,79,75,89,SW,3,0,29.77,0.0,Fair
9:00 PM,77,75,94,WSW,2,0,29.80,0.0,Fair
11:00 PM,75,73,94,WSW,3,0,29.83,0.0,Fair
12:00 AM,75,72,89,SW,3,0,29.83,0.0,Fair
1:00 AM,73,72,94,WSW,2,0,29.80,0.0,Fair
2:00 AM,73,72,94,WSW,3,0,29.80,0.0,Fair
3:00 AM,73,72,94,CALM,0,0,29.80,0.0,Fair
4:00 AM,73,72,94,WSW,3,0,29.77,0.0,Fair
5:00 AM,73,72,94,SW,5,0,29.80,0.0,Fair
6:00 AM,73,72,94,,0,0,0.00,0.0,Fair
7:00 AM,73,72,94,CALM,0,0,29.83,0.0,Partly Cloudy
8:00 AM,77,73,89,CALM,0,0,29.83,0.0,Fair
11:00 AM,86,79,79,E,8,0,29.86,0.0,Fair
12:00 PM,0,0,0,,0,0,0.00,0.0,Fair
1:00 PM,90,81,75,N,5,0,29.83,0.0,Fair
10:00 AM,86,79,79,E,5,0,29.86,0.0,Fair
3:00 PM,86,79,79,W,8,0,29.77,0.0,Partly Cloudy
2:00 PM,86,79,79,NW,5,0,29.80,0.0,Partly Cloudy
5:00 PM,84,77,79,WSW,8,0,29.77,0.0,Fair
4:00 PM,84,79,84,W,9,0,29.77,0.0,Fair
7:00 PM,81,79,94,WSW,5,0,29.80,0.0,Fair
8:00 PM,79,77,94,WSW,6,0,29.83,0.0,Fair
6:00 PM,84,79,84,WSW,5,0,29.80,0.0,Fair
10:00 PM,77,73,89,SW,3,0,29.86,0.0,Fair
9:00 PM,79,75,89,SW,5,0,29.83,0.0,Fair
9:00 AM,86,79,79,E,6,0,29.86,0.0,Fair
11:00 PM,77,73,89,WSW,6,0,29.86,0.0,Fair
12:00 AM,77,73,89,SW,6,0,29.86,0.0,Fair
1:00 AM,77,73,89,WSW,6,0,29.83,0.0,Fair
2:00 AM,77,73,89,,0,0,0.00,0.0,Fair
4:00 AM,77,73,89,SSW,2,0,29.80,0.0,Fair
5:00 AM,77,73,89,,0,0,0.00,0.0,Fair
6:00 AM,77,73,89,,0,0,0.00,0.0,Fair
7:00 AM,75,73,94,SSE,3,0,29.83,0.0,Thunder
8:00 AM,77,73,89,NE,2,0,29.86,0.0,Thunder
9:00 AM,81,77,89,WNW,2,0,29.89,0.0,Thunder
10:00 AM,86,75,70,VAR,2,0,29.89,0.0,Fair
11:00 AM,90,75,62,WNW,3,0,29.86,0.0,Fair
12:00 PM,88,77,70,W,9,0,29.83,0.0,Fair
1:00 PM,86,79,79,W,6,0,29.83,0.0,Partly Cloudy
2:00 PM,86,79,79,W,8,0,29.80,0.0,Partly Cloudy
4:00 PM,86,77,74,WSW,10,0,29.77,0.0,Partly Cloudy
5:00 PM,84,77,79,WSW,9,0,29.77,0.0,Partly Cloudy
3:00 PM,86,77,74,W,9,0,29.77,0.0,Partly Cloudy
8:00 PM,81,77,89,WSW,6,0,29.80,0.0,Fair
9:00 PM,79,75,89,WSW,6,0,29.83,0.0,Fair
6:00 PM,82,79,89,WSW,8,0,29.77,0.0,Fair
7:00 PM,81,77,89,WSW,5,0,29.80,0.0,Fair
10:00 PM,79,75,89,WSW,5,0,29.83,0.0,Fair
11:00 PM,79,75,89,W,7,0,29.83,0.0,Fair
12:00 AM,81,77,89,W,8,0,29.83,0.0,Fair
1:00 AM,81,77,89,W,8,0,29.80,0.0,Fair
2:00 AM,79,75,89,WSW,7,0,29.80,0.0,Fair
3:00 AM,79,75,89,WSW,8,0,29.80,0.0,Fair
4:00 AM,79,75,89,WSW,7,0,29.80,0.0,Thunder
5:00 AM,79,75,89,WSW,6,0,29.80,0.0,Thunder
8:00 AM,81,77,89,WSW,6,0,29.80,0.0,Partly Cloudy
9:00 AM,82,79,89,WSW,5,0,29.83,0.0,Partly Cloudy
10:00 AM,84,79,84,W,5,0,29.83,0.0,Partly Cloudy
11:00 AM,86,77,74,WSW,7,0,29.83,0.0,Fair
12:00 PM,84,77,79,WSW,7,0,29.80,0.0,Fair
1:00 PM,84,77,79,WSW,7,0,29.80,0.0,Fair
2:00 PM,86,77,74,WSW,8,0,29.77,0.0,Fair
3:00 PM,86,79,79,WSW,13,0,29.71,0.0,Fair
4:00 PM,88,77,70,WSW,13,0,29.71,0.0,Fair
5:00 PM,84,79,84,W,10,0,29.71,0.0,Fair
8:00 PM,81,79,94,WSW,8,0,29.77,0.0,Fair
7:00 PM,81,77,89,WSW,9,0,29.74,0.0,Fair
6:00 PM,82,79,89,WSW,12,0,29.74,0.0,Fair
9:00 PM,81,77,89,W,6,0,29.80,0.0,Fair
10:00 PM,79,77,94,WSW,6,0,29.77,0.0,Fair
11:00 PM,79,77,94,W,7,0,29.80,0.0,Fair
12:00 AM,81,77,89,WSW,7,0,29.77,0.0,Fair
1:00 AM,77,75,94,SW,3,0,29.83,0.0,Fair
2:00 AM,77,75,94,,0,0,0.00,0.0,Fair
3:00 AM,77,75,94,WSW,5,0,29.77,0.0,Thunder
4:00 AM,79,75,89,WSW,6,0,29.77,0.0,Thunder
5:00 AM,79,75,89,,0,0,0.00,0.0,Thunder
6:00 AM,79,75,89,W,10,0,29.80,0.0,Thunder
7:00 AM,79,75,89,SW,9,0,29.80,0.0,Thunder
8:00 AM,79,75,89,W,9,0,29.80,0.0,Thunder
9:00 AM,79,73,83,WSW,5,0,29.86,0.0,Thunder
10:00 AM,0,0,0,,0,0,0.00,0.0,Thunder
12:00 PM,88,75,66,WSW,10,0,29.83,0.0,Fair
11:00 AM,82,77,84,WSW,9,0,29.86,0.0,Fair
1:00 PM,86,77,74,WSW,10,0,29.80,0.0,Fair
3:00 PM,86,72,62,W,13,0,29.77,0.0,Fair
2:00 PM,86,73,66,W,14,0,29.80,0.0,Fair
4:00 PM,84,75,74,WSW,9,0,29.77,0.0,Fair
5:00 PM,84,77,79,W,9,0,29.77,0.0,Fair
6:00 PM,81,75,84,W,10,0,29.77,0.0,Fair
7:00 PM,77,73,89,WSW,7,0,29.80,0.0,Fair
10:00 PM,73,72,94,VAR,2,0,29.86,0.0,Fair
8:00 PM,77,73,89,WSW,6,0,29.83,0.0,Fair
9:00 PM,75,73,94,WSW,3,0,29.83,0.0,Fair
11:00 PM,73,72,94,W,3,0,29.86,0.0,Fair
12:00 AM,73,70,88,,0,0,0.00,0.0,Fair
2:00 AM,73,70,88,WSW,5,0,29.83,0.0,Fair
3:00 AM,73,70,88,CALM,0,0,29.83,0.0,Fair
4:00 AM,73,70,88,,0,0,0.00,0.0,Fair
5:00 AM,73,70,88,WSW,7,0,29.80,0.0,Fair
6:00 AM,73,70,88,W,5,0,29.83,0.0,Fair
7:00 AM,75,72,89,WSW,3,0,29.83,0.0,Fair
8:00 AM,75,73,94,WSW,1,0,29.86,0.0,Fair
9:00 AM,82,75,79,S,3,0,29.89,0.0,Fair
10:00 AM,88,75,66,WSW,6,0,29.92,0.0,Fair
11:00 AM,90,75,62,SW,5,0,29.86,0.0,Fair
12:00 PM,88,75,66,W,9,0,29.89,0.0,Partly Cloudy
1:00 PM,86,75,70,W,7,0,29.86,0.0,Partly Cloudy
2:00 PM,88,77,70,W,6,0,29.83,0.0,Partly Cloudy
3:00 PM,88,75,66,W,8,0,29.80,0.0,Partly Cloudy
4:00 PM,86,77,74,W,10,0,29.80,0.0,Partly Cloudy
5:00 PM,84,77,79,WSW,12,0,29.80,0.0,Partly Cloudy
6:00 PM,82,77,84,SSW,6,0,29.83,0.0,Partly Cloudy
8:00 PM,79,75,89,SW,3,0,29.83,0.0,Partly Cloudy
7:00 PM,81,77,89,VAR,2,0,29.83,0.0,Partly Cloudy
9:00 PM,77,75,94,CALM,0,0,29.86,0.0,Fair
10:00 PM,77,73,89,SSE,2,0,29.86,0.0,Fair
11:00 PM,75,73,94,VAR,2,0,29.86,0.0,Fair
12:00 AM,75,73,94,CALM,0,0,29.86,0.0,Fair
1:00 AM,75,73,94,SW,3,0,29.86,0.0,Fair
2:00 AM,75,73,94,VAR,2,0,29.86,0.0,Fair
3:00 AM,75,73,94,SSW,1,0,29.86,0.0,Fair
4:00 AM,75,73,94,WSW,2,0,29.86,0.0,Fair
5:00 AM,75,73,94,WSW,3,0,29.86,0.0,Fair
6:00 AM,75,73,94,SW,5,0,29.86,0.0,Thunder
7:00 AM,75,72,89,VAR,1,0,29.86,0.0,Thunder
11:00 AM,86,77,74,ENE,6,0,29.89,0.0,Partly Cloudy
12:00 PM,86,77,74,NE,6,0,29.89,0.0,Partly Cloudy
8:00 AM,79,75,89,CALM,0,0,29.89,0.0,Partly Cloudy
1:00 PM,88,77,70,ENE,3,0,29.86,0.0,Partly Cloudy
2:00 PM,88,77,70,NNW,5,0,29.83,0.0,Fair
3:00 PM,90,75,62,WNW,6,0,29.80,0.0,Fair
4:00 PM,86,77,74,W,8,0,29.80,0.0,Fair
5:00 PM,84,77,79,W,7,0,29.77,0.0,Fair
6:00 PM,82,77,84,W,7,0,29.80,0.0,Fair
8:00 PM,79,75,89,WSW,7,0,29.83,0.0,Fair
9:00 PM,79,75,89,WSW,5,0,29.86,0.0,Fair
10:00 PM,77,75,94,WSW,6,0,29.86,0.0,Fair
11:00 PM,77,73,89,VAR,1,0,29.86,0.0,Fair
12:00 AM,77,73,89,,0,0,0.00,0.0,Fair
1:00 AM,77,73,89,CALM,0,0,29.83,0.0,Partly Cloudy
2:00 AM,77,73,89,,0,0,0.00,0.0,Partly Cloudy
3:00 AM,77,73,89,WSW,6,0,29.80,0.0,Partly Cloudy
4:00 AM,75,73,94,WSW,6,0,29.80,0.0,Partly Cloudy
5:00 AM,75,73,94,WSW,5,0,29.80,0.0,Partly Cloudy
6:00 AM,75,72,89,WSW,5,0,29.80,0.0,Partly Cloudy
7:00 AM,75,72,89,WSW,5,0,29.80,0.0,Partly Cloudy
8:00 AM,77,73,89,WSW,3,0,29.83,0.0,Partly Cloudy
10:00 AM,86,77,74,WNW,5,0,29.86,0.0,Partly Cloudy
12:00 PM,86,77,74,WNW,6,0,29.83,0.0,Partly Cloudy
2:00 PM,88,75,66,WNW,8,0,29.77,0.0,Fair
11:00 AM,86,77,74,W,6,0,29.86,0.0,Partly Cloudy
1:00 PM,88,77,70,WNW,7,0,29.80,0.0,Fair
3:00 PM,88,75,66,W,7,0,29.74,0.0,Fair
4:00 PM,86,75,70,W,7,0,29.74,0.0,Fair
5:00 PM,86,75,70,W,9,0,29.74,0.0,Fair
6:00 PM,82,75,79,WSW,8,0,29.74,0.0,Fair
7:00 PM,81,75,84,WSW,7,0,29.77,0.0,Fair
9:00 PM,79,79,100,WSW,6,0,29.80,0.0,Fair
10:00 PM,79,75,89,WSW,5,0,29.83,0.0,Fair
8:00 PM,79,75,89,WSW,5,0,29.80,0.0,Fair
11:00 PM,77,73,89,WSW,6,0,29.83,0.0,Fair
12:00 AM,79,75,89,WSW,6,0,29.83,0.0,Fair
1:00 AM,77,73,89,WSW,6,0,29.83,0.0,Fair
3:00 AM,77,73,89,WSW,5,0,29.80,0.0,Fair
4:00 AM,75,73,94,WSW,2,0,29.77,0.0,Fair
6:00 AM,75,72,89,WSW,5,0,29.80,0.0,Fair
5:00 AM,75,72,89,CALM,0,0,29.77,0.0,Fair
7:00 AM,75,72,89,WSW,5,0,29.80,0.0,Fair
8:00 AM,77,73,89,SW,2,0,29.83,0.0,Fair
10:00 AM,86,75,70,E,6,0,29.83,0.0,Fair
9:00 AM,82,72,70,VAR,2,0,29.83,0.0,Fair
11:00 AM,88,75,66,E,7,0,29.83,0.0,Partly Cloudy
12:00 PM,88,75,66,E,13,0,29.80,0.0,Fair
1:00 PM,88,77,70,ENE,13,0,29.80,0.0,Fair
2:00 PM,88,77,70,E,10,0,29.74,0.0,Fair
3:00 PM,90,73,59,W,7,0,29.71,0.0,Fair
4:00 PM,88,75,66,W,9,0,29.71,0.0,Fair
5:00 PM,86,77,74,WSW,12,0,29.71,0.0,Fair
7:00 PM,81,77,89,WSW,6,0,29.74,0.0,Fair
